PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
122335422	http://d-nb.info/gnd/3015656-7	Tout-Puissant OK Jazz	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3015656-7","_standard":"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
122337255	http://d-nb.info/gnd/3059061-9	Trio Madjesi (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3059061-9","_standard":"text":"Trio Madjesi (Musikgruppe)"},"conceptName":"Trio Madjesi (Musikgruppe)"}	029E	$B:	Trio Madjesi		
122339878	http://d-nb.info/gnd/3059067-X	Lubumbashi Stars (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3059067-X","_standard":"text":"Lubumbashi Stars (Musikgruppe)"},"conceptName":"Lubumbashi Stars (Musikgruppe)"}	029E	$B:	Lubumbashi Stars		
122363213	http://d-nb.info/gnd/13511263X	Mangwana, Sam	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/13511263X","_standard":"text":"Mangwana, Sam"},"conceptName":"Mangwana, Sam"}	028E	$B:	Mangwana, Sam	1945-	
122363442	http://d-nb.info/gnd/13511263X	Mangwana, Sam	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/13511263X","_standard":"text":"Mangwana, Sam"},"conceptName":"Mangwana, Sam"}	028E	$B:	Mangwana, Sam	1945-	
122848012	http://d-nb.info/gnd/135147484	Nico, Docteur	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/135147484","_standard":"text":"Nico, Docteur"},"conceptName":"Nico, Docteur"}	028E	$B:	Nico <Docteur>	1939-1985	
122848012	http://d-nb.info/gnd/135147492	Deyesse, Empompo	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/135147492","_standard":"text":"Deyesse, Empompo"},"conceptName":"Deyesse, Empompo"}	028E/01	$B:	Deyesse, Empompo		
122848284	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
122848284	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
122848365	http://d-nb.info/gnd/1034498649	Franco, Musiker	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1034498649","_standard":"text":"Franco, Musiker"},"conceptName":"Franco, Musiker"}	028E	$B:	Franco <Musiker>	1938-1989	
122848365	http://d-nb.info/gnd/3015656-7	Tout-Puissant OK Jazz	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3015656-7","_standard":"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
122848608	http://d-nb.info/gnd/135147484	Nico, Docteur	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/135147484","_standard":"text":"Nico, Docteur"},"conceptName":"Nico, Docteur"}	028E	$B:	Nico <Docteur>	1939-1985	
